model,prompt_name,score,avg_prompt_tokens,avg_completion_tokens,total_tokens_used,estimated_cost
gpt-4o-mini,zero_shot_cot,61,1459.6888888888889,2.2222222222222223,65786,0.0099128999999999
gpt-4o-mini,emotional,56,1548.6888888888889,2.1333333333333333,69787,0.01051125
gpt-4o-mini,one_shot,52,3709.4666666666662,2.0444444444444443,167018,0.0250940999999999
gpt-4o-mini,Role and Task Definition,52,1586.6888888888889,2.088888888888889,71495,0.01076655
gpt-4.1,zero_shot_cot,85,1459.6888888888889,2.0,65776,0.132092
gpt-4.1,emotional,81,1548.6888888888889,2.0,69781,0.140102
gpt-4.1,one_shot,69,3709.4666666666662,2.0,167016,0.334572
gpt-4.1,Role and Task Definition,81,1586.6888888888889,2.0,71491,0.143522
gpt-4.1-mini,zero_shot_cot,74,1459.6888888888889,2.0,65776,0.0264183999999999
gpt-4.1-mini,emotional,69,1548.6888888888889,2.0,69781,0.0280204
gpt-4.1-mini,one_shot,79,3709.4666666666662,2.0,167016,0.0669144
gpt-4.1-mini,Role and Task Definition,77,1586.6888888888889,2.0,71491,0.0287044
gpt-4o,zero_shot_cot,85,1459.6888888888889,2.0,65776,0.165115
gpt-4o,emotional,83,1548.6888888888889,2.0,69781,0.1751275
gpt-4o,one_shot,85,3709.4666666666662,2.0,167016,0.418215
gpt-4o,Role and Task Definition,81,1586.6888888888889,2.0,71491,0.1794025
gpt-3.5-turbo,zero_shot_cot,38,2292.0666666666666,2.0,103233,0.0517065
gpt-3.5-turbo,emotional,39,2449.0666666666666,2.0,110298,0.055239
gpt-3.5-turbo,one_shot,28,5810.866666666667,2.0,261579,0.1308795
gpt-3.5-turbo,Role and Task Definition,32,2491.0666666666666,2.0,112188,0.056184
gpt-4o-mini,emotional_role_task_zerocot,56,1752.6888888888889,2.0444444444444443,78963,0.01188585
gpt-4o-mini,emotional_role_task,54,1681.6888888888889,2.0444444444444443,75768,0.0114066
gpt-4o-mini,combined_1,50,1629.6888888888889,2.1333333333333333,73432,0.011058
gpt-4o-mini,combined_2,52,1697.6888888888889,2.1333333333333333,76492,0.011517
gpt-4o-mini,system_prompt,56,1705.6888888888889,2.0444444444444443,76848,0.0115686
